delivery_id,shipment_id,partner_id,attempt_number,delivery_status,delivery_timestamp,customer_pincode
53,44,16,1,Delivered,"2026-04-07 16:41:01",229584
54,45,15,1,Delivered,"2026-04-11 13:12:01",237388
55,46,10,1,Delivered,"2026-01-15 03:04:01",558346
56,47,12,1,Failed_Attempt,"2026-03-29 14:56:01",876320
57,47,12,2,Delivered,"2026-03-30 14:56:01",876320
58,48,29,1,Delivered,"2026-07-27 02:54:01",418372
59,49,30,1,Delivered,"2026-01-30 22:28:01",718058
60,50,24,1,Delivered,"2026-08-16 01:39:01",171639
61,51,24,1,Delivered,"2026-04-21 02:10:01",779886
62,52,2,1,Delivered,"2026-07-09 14:52:01",724586
63,53,23,1,Delivered,"2026-05-29 07:01:01",652813
64,54,24,1,Failed_Attempt,"2026-06-17 08:05:01",625749
65,54,24,2,Delivered,"2026-06-18 11:05:01",625749
66,55,15,1,Failed_Attempt,"2026-04-16 20:14:01",406358
67,55,15,2,Delivered,"2026-04-17 21:14:01",406358
68,56,15,1,Delivered,"2026-02-01 12:37:01",396897
69,57,6,1,Failed_Attempt,"2026-06-08 03:54:01",882299
70,57,6,2,Delivered,"2026-06-09 06:54:01",882299
71,58,14,1,Delivered,"2026-03-08 05:20:01",468935
72,59,19,1,Failed_Attempt,"2026-08-14 02:01:01",738445
73,59,19,2,Delivered,"2026-08-15 03:01:01",738445
74,60,17,1,Delivered,"2026-06-05 01:13:01",606002
75,61,16,1,Delivered,"2026-08-26 14:33:01",235804
76,62,24,1,Delivered,"2026-05-17 19:30:01",552985
77,63,26,1,Delivered,"2025-10-21 05:31:01",753298
78,64,30,1,Delivered,"2026-07-08 06:14:01",339774
79,65,16,1,Delivered,"2026-07-12 07:49:01",215347
80,66,28,1,Delivered,"2026-03-05 13:13:01",172431
81,67,30,1,Delivered,"2026-02-22 21:42:01",706636
82,68,27,1,Delivered,"2026-06-03 10:19:01",587356
83,69,7,1,Delivered,"2026-08-12 15:05:01",438136
84,70,28,1,Delivered,"2026-08-26 04:03:01",423406
85,71,18,1,Delivered,"2026-07-05 10:44:01",657851
86,72,23,1,Delivered,"2026-08-22 04:30:01",642816
87,73,26,1,Delivered,"2026-08-22 00:29:01",395835
88,74,28,1,Delivered,"2026-01-27 03:35:01",152887
89,75,17,1,Failed_Attempt,"2026-08-30 12:54:01",320433
90,75,17,2,Delivered,"2026-08-31 15:54:01",320433
91,76,27,1,Delivered,"2026-03-28 00:59:01",819232
92,77,11,1,Delivered,"2026-04-12 12:45:01",614168
93,78,11,1,Delivered,"2026-08-21 07:05:01",125234
94,79,16,1,Delivered,"2026-01-18 13:34:01",378633
95,80,8,1,Delivered,"2026-07-26 09:19:01",352691
96,81,5,1,Delivered,"2026-07-30 16:42:01",512577
97,82,24,1,Failed_Attempt,"2026-03-17 19:27:01",847727
98,82,24,2,Delivered,"2026-03-18 19:27:01",847727
99,83,13,1,Delivered,"2026-03-30 01:09:01",569054
100,84,21,1,Delivered,"2026-02-03 00:34:01",371455
101,85,26,1,Delivered,"2026-06-30 16:09:01",617035
102,86,19,1,Delivered,"2026-02-22 07:57:01",863310
103,87,18,1,Delivered,"2026-08-12 16:33:01",143462
104,88,3,1,Delivered,"2026-08-08 18:07:01",322977
105,89,20,1,Failed_Attempt,"2026-06-27 11:34:01",730826
106,89,20,2,Failed_Attempt,"2026-06-28 14:34:01",730826
107,89,20,3,Delivered,"2026-06-29 17:34:01",730826
108,90,12,1,Delivered,"2026-06-23 15:46:01",641264
109,91,17,1,Delivered,"2026-08-11 05:19:01",309785
110,92,29,1,Delivered,"2026-05-24 12:46:01",206959
111,93,23,1,Failed_Attempt,"2026-04-22 15:26:01",287771
112,93,23,2,Delivered,"2026-04-23 17:26:01",287771
113,94,22,1,Delivered,"2026-08-18 14:38:01",843596
114,95,22,1,Delivered,"2026-08-20 09:58:01",294188
115,96,25,1,Delivered,"2026-07-08 20:15:01",833996
116,97,19,1,Delivered,"2026-02-15 19:35:01",156829
117,98,8,1,Delivered,"2026-06-11 17:04:01",661860
118,99,4,1,Delivered,"2025-10-08 01:00:01",234858
119,100,16,1,Delivered,"2026-08-21 20:32:01",483885
120,101,23,1,Delivered,"2026-07-28 22:14:01",260501
121,102,4,1,Delivered,"2025-12-23 00:03:01",455320
122,103,19,1,Delivered,"2026-08-21 06:27:01",595222
123,104,19,1,Delivered,"2026-05-09 18:44:01",410334
124,105,21,1,Delivered,"2025-11-11 17:49:01",403803
125,106,1,1,Delivered,"2026-07-21 06:23:01",498411
126,107,14,1,Delivered,"2026-04-19 01:53:01",633344
127,108,2,1,Delivered,"2025-11-28 00:15:01",368978
128,109,17,1,Delivered,"2026-05-19 12:44:01",539860
129,110,8,1,Failed_Attempt,"2026-06-02 01:27:01",531890
130,110,8,2,Delivered,"2026-06-03 01:27:01",531890
131,111,16,1,Delivered,"2026-07-13 19:42:01",175476
132,112,13,1,Delivered,"2026-08-17 18:34:01",268781
133,113,1,1,Delivered,"2026-03-09 22:06:01",112506
134,114,6,1,Delivered,"2026-08-05 22:46:01",733510
135,115,1,1,Delivered,"2026-08-10 04:53:01",588447
136,116,18,1,Delivered,"2026-05-24 10:52:01",717768
137,117,21,1,Delivered,"2026-07-15 23:11:01",214954
138,118,24,1,Delivered,"2026-02-08 04:51:01",539725
139,119,19,1,Delivered,"2026-08-25 02:25:01",461191
140,120,20,1,Failed_Attempt,"2026-04-11 05:04:01",804271
141,120,20,2,Delivered,"2026-04-12 06:04:01",804271
142,121,10,1,Delivered,"2026-07-22 16:22:01",336269
143,122,13,1,Failed_Attempt,"2026-04-01 21:16:01",634537
144,122,13,2,Delivered,"2026-04-03 00:16:01",634537
145,123,9,1,Delivered,"2026-08-26 13:35:01",416215
146,124,15,1,Delivered,"2026-08-10 14:32:01",186901
147,125,13,1,Delivered,"2026-04-07 01:38:01",539228
148,126,19,1,Failed_Attempt,"2026-03-19 06:58:01",745327
149,126,19,2,Delivered,"2026-03-20 09:58:01",745327
150,127,8,1,Delivered,"2026-06-22 09:51:01",758284
151,128,3,1,Delivered,"2026-03-11 12:53:01",179227
152,129,22,1,Delivered,"2026-01-31 06:30:01",597297
153,130,21,1,Delivered,"2025-11-20 05:12:01",861461
154,131,11,1,Delivered,"2026-04-30 09:21:01",712988
155,132,25,1,Delivered,"2026-01-15 23:09:01",323343
156,133,9,1,Failed_Attempt,"2026-07-29 12:26:01",875882
157,133,9,2,Delivered,"2026-07-30 13:26:01",875882
158,134,17,1,Delivered,"2026-06-08 02:59:01",543748
159,135,13,1,Failed_Attempt,"2026-04-16 07:08:01",550835
160,135,13,2,Delivered,"2026-04-17 07:08:01",550835
161,136,16,1,Delivered,"2026-07-06 17:15:01",515755
162,137,4,1,Delivered,"2026-08-18 09:48:01",559586
163,138,5,1,Delivered,"2025-11-12 05:32:01",561452
164,139,8,1,Delivered,"2026-08-07 02:05:01",163272
165,140,25,1,Delivered,"2026-08-28 03:36:01",794120
166,141,1,1,Delivered,"2026-07-20 04:35:01",152410
167,142,2,1,Delivered,"2026-08-08 12:20:01",834129
168,143,17,1,Delivered,"2026-04-06 13:50:01",304788
169,144,13,1,Delivered,"2026-01-25 19:23:01",869528
170,145,1,1,Delivered,"2026-05-22 17:20:01",591572
171,146,8,1,Delivered,"2026-06-29 03:03:01",873576
172,147,25,1,Delivered,"2026-03-04 19:37:01",773945
173,148,19,1,Failed_Attempt,"2026-08-29 20:53:01",290899
174,148,19,2,Delivered,"2026-08-30 23:53:01",290899
175,149,3,1,Delivered,"2026-05-10 09:55:01",790583
176,150,12,1,Failed_Attempt,"2026-03-16 09:21:01",475403
177,150,12,2,Delivered,"2026-03-17 12:21:01",475403
178,151,3,1,Delivered,"2026-08-10 18:34:01",255297
179,152,28,1,Failed_Attempt,"2026-04-29 04:47:01",306921
180,152,28,2,Failed_Attempt,"2026-04-30 04:47:01",306921
181,152,28,3,Delivered,"2026-05-01 06:47:01",306921
182,153,12,1,Delivered,"2026-04-13 01:43:01",560563
183,154,16,1,Delivered,"2026-01-11 22:03:01",258785
184,155,7,1,Delivered,"2026-07-08 17:10:01",892138
185,156,15,1,Delivered,"2026-08-29 08:22:01",519680
186,157,29,1,Failed_Attempt,"2025-11-07 14:42:01",439190
187,157,29,2,Delivered,"2025-11-08 16:42:01",439190
188,158,7,1,Failed_Attempt,"2026-07-11 22:33:01",236841
189,158,7,2,Failed_Attempt,"2026-07-13 01:33:01",236841
190,158,7,3,RTO,"2026-07-15 01:33:01",236841
191,159,18,1,Delivered,"2026-02-27 00:10:01",822314
192,160,5,1,Delivered,"2026-08-07 02:04:01",334177
193,161,30,1,Delivered,"2026-02-19 05:59:01",389124
194,162,13,1,Delivered,"2026-03-30 19:23:01",652883
195,163,24,1,Delivered,"2026-01-07 01:13:01",746743
196,164,21,1,Delivered,"2026-07-12 06:34:01",296526
197,165,22,1,Failed_Attempt,"2026-07-27 20:53:01",418215
198,165,22,2,Failed_Attempt,"2026-07-28 23:53:01",418215
199,165,22,3,RTO,"2026-07-30 23:53:01",418215
200,166,30,1,Delivered,"2026-07-14 22:58:01",857534
201,167,1,1,Delivered,"2026-06-02 18:32:01",653925
202,168,14,1,Delivered,"2026-06-11 04:38:01",559318
203,169,5,1,Delivered,"2025-10-23 07:18:01",391190
204,170,8,1,Delivered,"2026-08-04 22:25:01",892228
205,171,23,1,Delivered,"2026-08-20 12:46:01",878182
206,172,14,1,Delivered,"2026-07-27 23:52:01",408283
207,173,7,1,Failed_Attempt,"2026-07-29 18:23:01",219735
208,173,7,2,Delivered,"2026-07-30 21:23:01",219735
209,174,30,1,Delivered,"2026-08-26 09:54:01",675908
210,175,15,1,Delivered,"2026-07-02 08:25:01",476277
211,176,18,1,Delivered,"2026-08-29 01:18:01",362873
212,177,13,1,Delivered,"2025-11-29 01:10:01",102716
213,178,4,1,Delivered,"2026-08-28 19:51:01",128569
214,179,1,1,Delivered,"2026-05-21 14:59:01",780651
215,180,20,1,Delivered,"2025-12-07 21:36:01",718198
216,181,5,1,Failed_Attempt,"2026-03-07 14:18:01",444131
217,181,5,2,Delivered,"2026-03-08 15:18:01",444131
218,182,22,1,Delivered,"2026-06-27 15:28:01",638450
219,183,20,1,Failed_Attempt,"2026-01-30 23:39:01",797856
220,183,20,2,Delivered,"2026-02-01 01:39:01",797856
221,184,29,1,Failed_Attempt,"2026-04-29 20:35:01",145111
222,184,29,2,Delivered,"2026-04-30 22:35:01",145111
223,185,29,1,Delivered,"2026-06-20 23:09:01",744952
224,186,11,1,Delivered,"2025-10-24 23:02:01",419808
225,187,23,1,Delivered,"2026-07-26 06:14:01",493869
226,188,28,1,Delivered,"2026-05-14 06:59:01",743381
227,189,19,1,Delivered,"2026-07-21 02:53:01",677269
228,190,3,1,Delivered,"2026-08-29 23:49:01",331354
229,191,22,1,Delivered,"2026-02-23 21:35:01",571655
230,192,8,1,Delivered,"2026-02-21 01:01:01",673318
231,193,6,1,Delivered,"2026-04-21 00:03:01",532689
232,194,18,1,Failed_Attempt,"2026-02-08 14:16:01",500358
233,194,18,2,Delivered,"2026-02-09 14:16:01",500358
234,195,26,1,Delivered,"2026-08-04 09:02:01",608571
235,196,9,1,Delivered,"2026-08-21 09:38:01",394822
236,197,21,1,Delivered,"2026-03-30 12:58:01",780054
237,198,13,1,Delivered,"2026-05-09 08:39:01",638428
238,199,1,1,Delivered,"2026-07-03 00:45:01",129365
239,200,21,1,Delivered,"2026-08-25 18:51:01",876034
240,201,5,1,Delivered,"2026-07-11 05:18:01",315302
241,202,22,1,Delivered,"2026-06-10 00:42:01",494552
242,203,17,1,Delivered,"2026-08-02 02:07:01",545784
243,204,15,1,Delivered,"2026-05-31 07:12:01",256147
244,205,17,1,Delivered,"2026-05-23 23:15:01",191554
245,206,10,1,Failed_Attempt,"2026-08-27 01:14:01",498894
246,206,10,2,Delivered,"2026-08-28 02:14:01",498894
247,207,7,1,Delivered,"2026-06-12 23:09:01",260593
248,208,3,1,Delivered,"2026-04-06 20:45:01",584184
249,209,19,1,Delivered,"2026-07-30 03:24:01",148555
250,210,12,1,Delivered,"2026-05-27 00:51:01",262817
251,211,26,1,Failed_Attempt,"2026-08-15 20:24:01",256383
252,211,26,2,Failed_Attempt,"2026-08-16 21:24:01",256383
253,211,26,3,RTO,"2026-08-18 21:24:01",256383
254,212,9,1,Delivered,"2026-07-26 17:42:01",416547
255,213,12,1,Delivered,"2026-08-26 22:00:01",862302
256,214,5,1,Failed_Attempt,"2026-05-29 19:17:01",675370
257,214,5,2,Delivered,"2026-05-30 22:17:01",675370
258,215,10,1,Delivered,"2026-08-28 14:13:01",728006
259,216,13,1,Delivered,"2026-05-24 05:59:01",712794
260,217,22,1,Delivered,"2026-08-13 21:24:01",366454
261,218,16,1,Delivered,"2026-06-04 00:30:01",511776
262,219,21,1,Delivered,"2026-08-29 07:41:01",722071
263,220,18,1,Delivered,"2026-07-05 22:58:01",694463
264,221,17,1,Delivered,"2026-06-14 08:48:01",370100
265,222,20,1,Delivered,"2026-08-05 23:55:01",343910
266,223,23,1,Delivered,"2026-05-28 20:01:01",633498
267,224,10,1,Delivered,"2026-06-22 13:15:01",739913
268,225,14,1,Delivered,"2026-05-26 23:36:01",232588
269,226,17,1,Delivered,"2026-04-23 19:32:01",668682
270,227,3,1,Delivered,"2026-08-22 03:10:01",287676
271,228,5,1,Delivered,"2026-08-06 20:48:01",233246
272,229,25,1,Delivered,"2026-08-06 14:57:01",733618
273,230,13,1,Delivered,"2026-03-21 19:20:01",607995
274,231,18,1,Delivered,"2026-01-25 16:50:01",524042
275,232,27,1,Delivered,"2026-02-08 23:45:01",220318
276,233,12,1,Delivered,"2026-05-10 01:51:01",627966
277,234,23,1,Failed_Attempt,"2026-03-10 17:26:01",413003
278,234,23,2,Delivered,"2026-03-11 19:26:01",413003
279,235,26,1,Delivered,"2026-07-20 09:14:01",824752
280,236,14,1,Delivered,"2026-02-26 06:27:01",817412
281,237,28,1,Failed_Attempt,"2026-08-29 03:24:01",669014
282,237,28,2,Failed_Attempt,"2026-08-30 06:24:01",669014
283,237,28,3,RTO,"2026-09-01 06:24:01",669014
284,238,21,1,Delivered,"2026-08-13 07:50:01",588474
285,239,21,1,Delivered,"2026-07-04 18:11:01",207748
286,240,1,1,Delivered,"2025-12-06 03:39:01",429205
287,241,14,1,Delivered,"2026-08-10 16:57:01",395513
288,242,2,1,Delivered,"2026-04-20 02:03:01",584769
289,243,26,1,Delivered,"2026-08-08 02:49:01",325860
290,244,20,1,Delivered,"2026-08-24 06:47:01",445608
291,245,20,1,Delivered,"2026-07-31 03:51:01",787793
292,246,21,1,Delivered,"2026-04-05 13:47:01",112412
293,247,22,1,Delivered,"2026-08-20 10:04:01",774788
294,248,27,1,Delivered,"2026-07-19 16:25:01",896265
295,249,24,1,Delivered,"2026-02-16 22:34:01",618595
296,250,13,1,Failed_Attempt,"2025-11-23 11:07:01",335064
297,250,13,2,Delivered,"2025-11-24 12:07:01",335064
298,251,1,1,Delivered,"2025-12-03 23:03:01",339506
299,252,15,1,Delivered,"2026-07-14 15:57:01",313755
300,253,8,1,Failed_Attempt,"2025-12-06 10:00:01",389760
301,253,8,2,Failed_Attempt,"2025-12-07 13:00:01",389760
302,253,8,3,Delivered,"2025-12-08 15:00:01",389760
303,254,7,1,Delivered,"2026-06-04 12:45:01",594603
304,255,5,1,Delivered,"2026-06-13 19:54:01",438116
305,256,12,1,Delivered,"2026-02-06 14:59:01",632874
306,257,7,1,Delivered,"2025-11-03 03:53:01",727082
307,258,22,1,Delivered,"2026-04-03 02:31:01",258616
308,259,7,1,Delivered,"2026-07-18 19:46:01",878143
309,260,12,1,Delivered,"2026-08-12 10:25:01",417284
310,261,25,1,Delivered,"2026-05-17 16:54:01",405326
311,262,14,1,Delivered,"2026-01-04 03:16:01",856005
312,263,8,1,Delivered,"2026-02-14 13:55:01",513812
313,264,29,1,Delivered,"2026-08-23 23:39:01",663865
314,265,7,1,Delivered,"2026-08-24 04:39:01",545817
315,266,11,1,Delivered,"2026-08-21 14:32:01",560897
316,267,10,1,Delivered,"2026-08-28 04:29:01",890040
317,268,6,1,Delivered,"2026-07-30 03:50:01",311926
318,269,20,1,Delivered,"2026-08-04 06:44:01",211997
319,270,22,1,Delivered,"2026-03-11 14:43:01",598257
320,271,16,1,Delivered,"2026-03-09 11:14:01",514972
321,272,28,1,Delivered,"2026-06-19 08:58:01",708110
322,273,7,1,Delivered,"2026-06-12 06:18:01",225066
323,274,20,1,Delivered,"2026-03-20 16:19:01",801908
324,275,9,1,Delivered,"2026-06-22 15:46:01",723803
325,276,26,1,Delivered,"2026-03-24 23:27:01",246641
326,277,25,1,Delivered,"2026-08-19 09:32:01",511409
327,278,26,1,Delivered,"2026-07-21 19:20:01",895765
328,279,12,1,Failed_Attempt,"2026-04-13 02:17:01",481442
329,279,12,2,Failed_Attempt,"2026-04-14 05:17:01",481442
330,279,12,3,Delivered,"2026-04-15 07:17:01",481442
331,280,12,1,Failed_Attempt,"2026-01-21 18:47:01",350070
332,280,12,2,Delivered,"2026-01-22 18:47:01",350070
333,281,11,1,Delivered,"2026-08-24 05:40:01",412831
334,282,1,1,Delivered,"2026-05-10 15:47:01",704160
335,283,30,1,Delivered,"2026-06-04 01:50:01",119195
336,284,22,1,Failed_Attempt,"2025-12-10 14:44:01",602297
337,284,22,2,Delivered,"2025-12-11 15:44:01",602297
338,285,8,1,Delivered,"2026-05-12 23:04:01",806826
339,286,13,1,Delivered,"2026-07-08 09:18:01",559846
340,287,11,1,Delivered,"2026-07-19 16:15:01",714271
341,288,2,1,Delivered,"2026-07-17 13:59:01",607655
342,289,1,1,Delivered,"2026-08-22 01:36:01",723472
343,290,18,1,Delivered,"2026-08-25 20:52:01",161453
344,291,24,1,Delivered,"2026-05-08 06:48:01",540022
345,292,4,1,Delivered,"2025-11-07 14:24:01",399839
346,293,21,1,Failed_Attempt,"2026-08-09 10:30:01",338300
347,293,21,2,Delivered,"2026-08-10 13:30:01",338300
348,294,10,1,Delivered,"2025-11-08 12:36:01",161142
349,295,23,1,Delivered,"2026-06-02 08:42:01",495217
350,296,28,1,Delivered,"2026-07-15 01:45:01",888169
351,297,5,1,Delivered,"2026-01-24 13:54:01",511885
352,298,29,1,Delivered,"2026-03-13 07:45:01",505471
353,299,14,1,Delivered,"2026-05-13 04:21:01",481997
354,300,20,1,Delivered,"2026-02-28 07:17:01",116200
355,301,14,1,Delivered,"2026-04-20 01:59:01",270427
356,302,26,1,Delivered,"2026-08-18 14:10:01",443926
357,303,30,1,Delivered,"2025-10-23 05:42:01",278396
358,304,29,1,Delivered,"2026-01-05 09:07:01",460852
359,305,15,1,Delivered,"2026-07-31 13:49:01",307254
360,306,21,1,Delivered,"2026-08-14 06:12:01",413655
361,307,24,1,Delivered,"2026-07-13 07:57:01",778418
362,308,22,1,Failed_Attempt,"2026-07-18 00:43:01",148504
363,308,22,2,Delivered,"2026-07-19 00:43:01",148504
364,309,27,1,Delivered,"2025-11-16 15:53:01",756181
365,310,30,1,Delivered,"2026-06-08 12:15:01",575248
366,311,15,1,Delivered,"2026-07-28 07:15:01",539278
367,312,10,1,Delivered,"2026-08-01 20:27:01",850018
368,313,22,1,Delivered,"2025-11-05 04:59:01",633049
369,314,3,1,Delivered,"2026-06-08 21:48:01",292832
370,315,2,1,Delivered,"2026-08-01 07:40:01",196416
371,316,21,1,Delivered,"2026-08-23 23:05:01",256869
372,317,14,1,Delivered,"2026-07-27 22:58:01",553206
373,318,11,1,Delivered,"2026-07-23 02:43:01",659716
374,319,1,1,Delivered,"2026-08-27 18:53:01",852142
375,320,27,1,Failed_Attempt,"2026-05-22 22:05:01",399040
376,320,27,2,Failed_Attempt,"2026-05-24 00:05:01",399040
377,320,27,3,Delivered,"2026-05-25 00:05:01",399040
378,321,1,1,Failed_Attempt,"2026-04-30 19:35:01",705723
379,321,1,2,Delivered,"2026-05-01 19:35:01",705723
380,322,9,1,Failed_Attempt,"2026-04-27 12:36:01",201914
381,322,9,2,Delivered,"2026-04-28 14:36:01",201914
382,323,3,1,Delivered,"2025-12-08 03:34:01",569492
383,324,6,1,Failed_Attempt,"2026-07-24 19:40:01",540743
384,324,6,2,Delivered,"2026-07-25 19:40:01",540743
385,325,4,1,Delivered,"2026-06-08 21:10:01",793575
386,326,22,1,Delivered,"2026-07-24 01:43:01",137135
387,327,20,1,Failed_Attempt,"2025-11-26 20:56:01",335388
388,327,20,2,Delivered,"2025-11-27 21:56:01",335388
389,328,23,1,Delivered,"2026-08-30 03:55:01",552344
390,329,11,1,Delivered,"2026-05-31 18:54:01",110548
391,330,21,1,Delivered,"2026-07-05 22:07:01",139269
392,331,2,1,Failed_Attempt,"2026-05-16 19:12:01",559151
393,331,2,2,Failed_Attempt,"2026-05-17 21:12:01",559151
394,331,2,3,Delivered,"2026-05-18 21:12:01",559151
395,332,15,1,Delivered,"2026-05-01 03:27:01",779605
396,333,4,1,Delivered,"2026-08-22 02:38:01",564487
397,334,14,1,Delivered,"2026-07-31 01:48:01",774566
398,335,28,1,Delivered,"2026-08-13 04:55:01",215501
399,336,9,1,Delivered,"2026-03-19 11:34:01",645695
400,337,26,1,Delivered,"2026-08-15 13:29:01",733322
401,338,17,1,Delivered,"2026-05-25 19:40:01",646504
402,339,26,1,Failed_Attempt,"2026-07-11 01:09:01",697116
403,339,26,2,Failed_Attempt,"2026-07-12 01:09:01",697116
404,339,26,3,Delivered,"2026-07-13 02:09:01",697116
405,340,24,1,Delivered,"2026-07-28 03:59:01",693279
406,341,23,1,Delivered,"2026-05-21 00:59:01",114811
407,342,30,1,Delivered,"2025-12-06 04:37:01",579238
408,343,22,1,Delivered,"2026-03-08 02:50:01",578052
409,344,27,1,Delivered,"2026-03-13 03:22:01",672572
410,345,12,1,Delivered,"2026-08-14 21:22:01",476991
411,346,30,1,Delivered,"2026-08-28 21:04:01",226840
412,347,17,1,Delivered,"2026-07-03 00:11:01",880909
413,348,6,1,Delivered,"2026-06-29 10:30:01",519690
414,349,6,1,Failed_Attempt,"2026-01-18 20:06:01",882849
415,349,6,2,Failed_Attempt,"2026-01-19 21:06:01",882849
416,349,6,3,Delivered,"2026-01-20 21:06:01",882849
417,350,11,1,Delivered,"2026-07-09 08:02:01",505174
418,351,27,1,Delivered,"2026-05-15 11:29:01",806746
419,352,16,1,Delivered,"2026-08-31 18:52:01",394271
420,353,6,1,Delivered,"2026-01-28 22:27:01",811356
421,354,29,1,Delivered,"2026-08-30 07:43:01",442892
422,355,8,1,Failed_Attempt,"2026-08-23 19:21:01",706830
423,355,8,2,Failed_Attempt,"2026-08-24 22:21:01",706830
424,355,8,3,RTO,"2026-08-26 22:21:01",706830
425,356,23,1,Delivered,"2026-06-23 19:23:01",764469
426,357,24,1,Failed_Attempt,"2026-02-28 03:44:01",478377
427,357,24,2,Delivered,"2026-03-01 05:44:01",478377
428,358,13,1,Failed_Attempt,"2026-03-09 04:28:01",329308
429,358,13,2,Delivered,"2026-03-10 04:28:01",329308
430,359,6,1,Delivered,"2026-08-22 22:10:01",456902
431,360,23,1,Delivered,"2026-04-01 00:12:01",767373
432,361,16,1,Delivered,"2026-04-28 12:14:01",249334
433,362,8,1,Delivered,"2026-08-26 03:36:01",896540
434,363,25,1,Delivered,"2026-06-30 13:43:01",408970
435,364,20,1,Failed_Attempt,"2026-05-22 00:47:01",672763
436,364,20,2,Delivered,"2026-05-23 02:47:01",672763
437,365,15,1,Delivered,"2026-04-29 13:16:01",401460
438,366,15,1,Delivered,"2026-07-13 01:15:01",267214
439,367,26,1,Delivered,"2026-08-23 11:52:01",186070
440,368,22,1,Delivered,"2026-08-24 21:48:01",321525
441,369,26,1,Delivered,"2026-07-30 13:35:01",734792
442,370,1,1,Delivered,"2026-06-09 14:55:01",588872
443,371,23,1,Delivered,"2026-09-01 07:29:01",531966
444,372,29,1,Failed_Attempt,"2026-05-16 11:52:01",154811
445,372,29,2,Delivered,"2026-05-17 11:52:01",154811
446,373,24,1,Delivered,"2026-06-30 08:32:01",198316
447,374,17,1,Delivered,"2026-08-15 07:06:01",197704
448,375,30,1,Delivered,"2025-11-15 07:23:01",722643
449,376,23,1,Delivered,"2026-06-02 05:46:01",756399
450,377,27,1,Delivered,"2026-07-09 04:44:01",186845
451,378,12,1,Delivered,"2026-04-17 04:31:01",491575
452,379,5,1,Failed_Attempt,"2026-05-13 11:07:01",670027
453,379,5,2,Delivered,"2026-05-14 14:07:01",670027
454,380,12,1,Delivered,"2026-03-02 06:44:01",415493
